-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 12/01/2020 through 01/31/2021 
Location: Latitude  26.4207   Longitude 50.0888 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 13.68 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_NKT              CERES SYN1deg All Sky Normalized Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_NKT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,ALLSKY_SFC_UV_INDEX
2020,12,1,2.54,3.72,0.41,0.56,404.8,6.34,0.13,23.34,17.64,20.49,24.19,4.83,26.12,21.3,12.45,70.81,0.68
2020,12,2,3.5,3.64,0.56,0.78,397.25,7.78,0.16,24.79,17.8,21.3,26.03,6.15,28.44,22.29,12.63,66.5,0.77
2020,12,3,3.51,3.81,0.56,0.79,392.3,8.05,0.17,24.41,18.87,21.64,24.89,4.16,26.94,22.77,13.43,71.69,0.85
2020,12,4,3.2,3.77,0.52,0.72,398.8,7.44,0.16,23.99,19.48,21.73,24.81,4.9,27.11,22.22,13.98,76.5,0.8
2020,12,5,2.09,3.88,0.34,0.47,407.14,5.59,0.12,23.94,18.67,21.31,24.98,3.93,25.92,21.98,13.31,72.88,0.64
2020,12,6,2.99,3.59,0.48,0.68,390.51,6.87,0.13,22.88,15.56,19.22,23.44,8.52,27.01,18.5,11.23,65.94,0.68
2020,12,7,3.56,3.96,0.58,0.81,365.41,8.14,0.15,19.63,11.11,15.37,21.3,6.19,23.33,17.14,8.18,59.31,-999.0
2020,12,8,3.47,3.78,0.57,0.8,375.23,7.72,0.15,19.05,10.19,14.62,20.37,5.26,22.21,16.95,7.69,57.38,0.74
2020,12,9,3.75,3.79,0.61,0.86,357.07,8.15,0.15,19.37,10.08,14.73,20.29,7.58,23.56,15.98,7.69,56.94,0.74
2020,12,10,3.74,3.89,0.61,0.86,349.65,8.19,0.15,19.56,9.8,14.68,20.3,8.0,24.11,16.11,7.57,55.69,0.73
2020,12,11,3.38,3.98,0.55,0.78,363.99,7.56,0.13,19.15,12.04,15.59,20.28,7.76,23.51,15.75,8.67,64.94,0.68
2020,12,12,3.85,4.08,0.63,0.89,350.91,8.47,0.16,18.05,9.01,13.52,19.15,6.69,22.05,15.37,7.14,57.19,0.77
2020,12,13,3.79,4.08,0.62,0.88,346.94,8.24,0.16,17.25,8.96,13.11,18.48,7.02,21.44,14.41,7.08,60.06,0.79
2020,12,14,3.76,4.09,0.62,0.88,349.34,8.39,0.16,18.14,9.19,13.66,18.92,8.59,22.53,13.94,7.26,57.81,0.82
